포지션,선수명,타구기회,타구성공,타구OAA,병살성공,순수수비득점(Runs),포지션보정,최종dWAR
좌익수,이성규,36,22,1.35,0,1.15,-0.77,0.038
투수,최채흥,4,4,0.45,0,0.38,0.0,0.038
투수,육선엽,8,6,0.45,0,0.38,0.0,0.038
투수,양지율,3,3,0.45,0,0.38,0.0,0.038
1루수,류지혁,11,10,0.9,0,0.76,-0.39,0.037
우익수,유준규,7,2,0.6,0,0.51,-0.15,0.036
투수,쿠에바스,15,10,0.4,0,0.34,0.0,0.034
유격수,박계범,43,29,-1.15,1,-0.58,0.92,0.034
포수,신범수,1,1,0.0,0,0.0,0.31,0.031
포수,김정호,1,1,0.0,0,0.0,0.31,0.031
좌익수,문정빈,5,4,0.5,0,0.42,-0.11,0.031
투수,김민수,5,5,0.35,0,0.3,0.0,0.03
유격수,박찬형,4,2,-0.7,2,0.21,0.09,0.03
3루수,여동욱,27,17,-0.85,2,0.08,0.19,0.027
3루수,손용준,5,3,-0.2,1,0.23,0.04,0.027
투수,문용익,6,5,0.3,0,0.26,0.0,0.026
투수,성영탁,8,8,0.3,0,0.26,0.0,0.026
투수,정해영,7,6,0.3,0,0.26,0.0,0.026
투수,주현상,9,6,0.3,0,0.26,0.0,0.026
투수,이강준,7,5,0.3,0,0.26,0.0,0.026
투수,이상규,3,2,0.3,0,0.26,0.0,0.026
투수,김현수,3,2,0.3,0,0.26,0.0,0.026
투수,김민규,2,2,0.3,0,0.26,0.0,0.026
투수,김재열,2,2,0.3,0,0.26,0.0,0.026
1루수,양현종,2,2,0.35,0,0.3,-0.07,0.023
좌익수,고승민,10,4,0.5,0,0.42,-0.21,0.021
유격수,심재훈,2,2,0.2,0,0.17,0.04,0.021
우익수,박헌,10,7,0.5,0,0.42,-0.21,0.021
2루수,오태양,4,3,0.2,0,0.17,0.03,0.02
1루수,강진성,5,4,0.45,0,0.38,-0.18,0.02
1루수,박지훈,3,3,0.35,0,0.3,-0.11,0.019
중견수,최상민,2,1,0.2,0,0.17,0.01,0.018
투수,김윤하,13,10,0.2,0,0.17,0.0,0.017
1루수,한재환,7,6,0.5,0,0.42,-0.25,0.017
1루수,박승욱,3,3,0.3,0,0.26,-0.11,0.015
2루수,이선우,6,5,-0.35,1,0.1,0.04,0.014
2루수,김태윤,1,1,0.15,0,0.13,0.01,0.014
투수,이태양,3,3,0.15,0,0.13,0.0,0.013
투수,이호민,1,1,0.15,0,0.13,0.0,0.013
투수,이교훈,1,1,0.15,0,0.13,0.0,0.013
투수,황동재,1,1,0.15,0,0.13,0.0,0.013
1루수,홍성호,6,6,0.4,0,0.34,-0.21,0.013
투수,홍민규,2,2,0.15,0,0.13,0.0,0.013
투수,배재준,1,1,0.15,0,0.13,0.0,0.013
투수,최동환,3,2,0.15,0,0.13,0.0,0.013
투수,최우석,2,1,0.15,0,0.13,0.0,0.013
투수,김유영,1,1,0.15,0,0.13,0.0,0.013
투수,손힘찬,1,1,0.15,0,0.13,0.0,0.013
투수,정현수,3,3,0.15,0,0.13,0.0,0.013
투수,김명신,1,1,0.15,0,0.13,0.0,0.013
투수,황동하,2,2,0.15,0,0.13,0.0,0.013
1루수,박계범,5,5,0.35,0,0.3,-0.18,0.012
유격수,이승현,2,2,0.1,0,0.08,0.04,0.012
1루수,카디네스,14,11,0.7,0,0.6,-0.5,0.01
1루수,이도윤,2,2,0.2,0,0.17,-0.07,0.01
우익수,박지환,15,8,0.5,0,0.42,-0.32,0.01
1루수,김현수,22,16,1.05,0,0.89,-0.79,0.01
1루수,김민혁,6,5,0.35,0,0.3,-0.21,0.009
3루수,노진혁,2,2,0.1,0,0.08,0.01,0.009
1루수,안치홍,1,1,0.15,0,0.13,-0.04,0.009
1루수,윤정빈,1,1,0.15,0,0.13,-0.04,0.009
1루수,김태훈,1,1,0.15,0,0.13,-0.04,0.009
1루수,이주형58,1,1,0.15,0,0.13,-0.04,0.009
1루수,이선우,2,2,0.15,0,0.13,-0.07,0.006
좌익수,송승환,1,1,0.1,0,0.08,-0.02,0.006
우익수,이용규,1,1,0.1,0,0.08,-0.02,0.006
좌익수,김병준,1,1,0.1,0,0.08,-0.02,0.006
우익수,이형종,33,16,0.9,0,0.76,-0.71,0.005
3루수,이도윤,1,1,0.05,0,0.04,0.01,0.005
2루수,최정용,6,5,0.0,0,0.0,0.04,0.004
투수,전영준,9,7,0.05,0,0.04,0.0,0.004
중견수,송찬의,6,2,0.0,0,0.0,0.04,0.004
중견수,이유찬,5,2,0.0,0,0.0,0.04,0.004
투수,김대호,3,2,0.05,0,0.04,0.0,0.004
투수,손주환,3,3,0.05,0,0.04,0.0,0.004
2루수,전민재,5,4,0.0,0,0.0,0.04,0.004
투수,성동현,2,2,0.05,0,0.04,0.0,0.004
2루수,황재균,4,3,0.0,0,0.0,0.03,0.003
중견수,이용규,33,17,-0.25,0,-0.21,0.24,0.003
2루수,정현창,4,4,0.0,0,0.0,0.03,0.003
유격수,홍종표,1,1,0.0,0,0.0,0.02,0.002
유격수,이재상,1,0,0.0,0,0.0,0.02,0.002
유격수,황재균,1,1,0.0,0,0.0,0.02,0.002
우익수,이민재,3,1,0.1,0,0.08,-0.06,0.002
중견수,최인호,1,0,0.0,0,0.0,0.01,0.001
1루수,김민성,8,5,0.35,0,0.3,-0.29,0.001
3루수,김태윤,2,2,0.0,0,0.0,0.01,0.001
3루수,박준영,1,1,0.0,0,0.0,0.01,0.001
포수,박성재,0,0,0.0,0,0.0,0.0,0.0
투수,박준영,0,0,0.0,0,0.0,0.0,0.0
투수,전용주,2,1,0.0,0,0.0,0.0,0.0
투수,올러,9,5,0.0,0,0.0,0.0,0.0
투수,정세영,0,0,0.0,0,0.0,0.0,0.0
투수,정민성,0,0,0.0,0,0.0,0.0,0.0
포수,김성우,0,0,0.0,0,0.0,0.0,0.0
투수,김유성,0,0,0.0,0,0.0,0.0,0.0
투수,최성훈,1,1,0.0,0,0.0,0.0,0.0
투수,박건우,1,1,0.0,0,0.0,0.0,0.0
투수,조이현,0,0,0.0,0,0.0,0.0,0.0
투수,박세현,0,0,0.0,0,0.0,0.0,0.0
투수,김성민,1,1,0.0,0,0.0,0.0,0.0
포수,박건우,0,0,0.0,0,0.0,0.0,0.0
투수,최충연,0,0,0.0,0,0.0,0.0,0.0
투수,김민주,0,0,0.0,0,0.0,0.0,0.0
포수,강승구,0,0,0.0,0,0.0,0.0,0.0
포수,강백호,0,0,0.0,0,0.0,0.0,0.0
투수,강재민,1,1,0.0,0,0.0,0.0,0.0
투수,소이현,0,0,0.0,0,0.0,0.0,0.0
투수,곽도규,0,0,0.0,0,0.0,0.0,0.0
포수,김민석,0,0,0.0,0,0.0,0.0,0.0
투수,김동현,0,0,0.0,0,0.0,0.0,0.0
투수,최종인,0,0,0.0,0,0.0,0.0,0.0
투수,최준호,1,1,0.0,0,0.0,0.0,0.0
포수,권희동,0,0,0.0,0,0.0,0.0,0.0
투수,양재훈,0,0,0.0,0,0.0,0.0,0.0
투수,제환유,4,2,0.0,0,0.0,0.0,0.0
투수,김태현,0,0,0.0,0,0.0,0.0,0.0
투수,김태형,3,3,0.0,0,0.0,0.0,0.0
포수,박민준,0,0,0.0,0,0.0,0.0,0.0
투수,심재민,0,0,0.0,0,0.0,0.0,0.0
투수,송은범,1,1,0.0,0,0.0,0.0,0.0
투수,임지민,0,0,0.0,0,0.0,0.0,0.0
투수,임상현,0,0,0.0,0,0.0,0.0,0.0
투수,김대우,0,0,0.0,0,0.0,0.0,0.0
투수,임진묵,0,0,0.0,0,0.0,0.0,0.0
투수,임창민,1,1,0.0,0,0.0,0.0,0.0
포수,장규현,0,0,0.0,0,0.0,0.0,0.0
투수,김기훈,1,1,0.0,0,0.0,0.0,0.0
투수,윤태호,1,1,0.0,0,0.0,0.0,0.0
투수,윤현,2,2,0.0,0,0.0,0.0,0.0
투수,윤영철,5,4,0.0,0,0.0,0.0,0.0
투수,박진형,1,1,0.0,0,0.0,0.0,0.0
포수,장승현,0,0,0.0,0,0.0,0.0,0.0
투수,벨라스케즈,5,4,0.0,0,0.0,0.0,0.0
투수,서진용,0,0,0.0,0,0.0,0.0,0.0
투수,임기영,0,0,0.0,0,0.0,0.0,0.0
투수,신지환,0,0,0.0,0,0.0,0.0,0.0
투수,김택형,4,4,0.0,0,0.0,0.0,0.0
투수,이채호,1,1,0.0,0,0.0,0.0,0.0
투수,이재희,0,0,0.0,0,0.0,0.0,0.0
투수,이용찬,1,1,0.0,0,0.0,0.0,0.0
투수,강건,1,1,0.0,0,0.0,0.0,0.0
포수,김도환,0,0,0.0,0,0.0,0.0,0.0
투수,김동규,1,0,0.0,0,0.0,0.0,0.0
투수,홍원빈,0,0,0.0,0,0.0,0.0,0.0
투수,한재승,2,1,0.0,0,0.0,0.0,0.0
투수,한현희,0,0,0.0,0,0.0,0.0,0.0
투수,홍원표,0,0,0.0,0,0.0,0.0,0.0
좌익수,최상민,1,0,0.0,0,0.0,-0.02,-0.002
좌익수,이인한,1,0,0.0,0,0.0,-0.02,-0.002
좌익수,류효승,1,0,0.0,0,0.0,-0.02,-0.002
1루수,변우혁,14,12,0.55,0,0.47,-0.5,-0.003
좌익수,박관우,27,12,0.65,0,0.55,-0.58,-0.003
1루수,박성재,2,2,0.05,0,0.04,-0.07,-0.003
좌익수,최준우,77,37,1.9,0,1.62,-1.65,-0.003
중견수,김재혁,5,2,-0.1,0,-0.08,0.04,-0.004
유격수,정현창,7,5,-0.7,1,-0.19,0.15,-0.004
우익수,김민석,2,0,0.0,0,0.0,-0.04,-0.004
2루수,이호연,2,1,-0.55,1,-0.07,0.01,-0.006
1루수,서건창,2,2,0.0,0,0.0,-0.07,-0.007
1루수,최준우,2,2,0.0,0,0.0,-0.07,-0.007
좌익수,최형우,7,4,0.1,0,0.08,-0.15,-0.007
우익수,맥브룸,30,15,0.65,0,0.55,-0.64,-0.009
유격수,이영빈,8,6,-0.3,0,-0.26,0.17,-0.009
중견수,이성규,22,9,-0.3,0,-0.26,0.16,-0.01
3루수,도태훈,7,5,-0.2,0,-0.17,0.05,-0.012
중견수,권혁빈,7,2,-0.2,0,-0.17,0.05,-0.012
투수,유영찬,1,0,-0.15,0,-0.13,0.0,-0.013
투수,오승환,2,0,-0.15,0,-0.13,0.0,-0.013
투수,김태경,2,1,-0.15,0,-0.13,0.0,-0.013
3루수,양현종,5,3,-0.2,0,-0.17,0.04,-0.013
2루수,염승원,9,7,-0.25,0,-0.21,0.06,-0.015
우익수,임근우,7,5,0.0,0,0.0,-0.15,-0.015
유격수,이선우,5,3,-0.3,0,-0.26,0.11,-0.015
좌익수,플로리얼,7,3,0.0,0,0.0,-0.15,-0.015
1루수,여동욱,2,1,-0.1,0,-0.08,-0.07,-0.015
투수,김민,11,8,-0.2,0,-0.17,0.0,-0.017
우익수,최정원,2,1,-0.15,0,-0.13,-0.04,-0.017
1루수,이우성,12,9,0.3,0,0.26,-0.43,-0.017
유격수,김상수,51,40,-1.95,1,-1.26,1.09,-0.017
투수,로젠버그,9,5,-0.2,0,-0.17,0.0,-0.017
중견수,박수종,49,21,-0.65,0,-0.55,0.35,-0.02
1루수,문정빈,2,1,-0.15,0,-0.13,-0.07,-0.02
중견수,이우성,8,4,-0.3,0,-0.26,0.06,-0.02
중견수,이상혁,8,4,-0.3,0,-0.26,0.06,-0.02
중견수,조세진,9,4,-0.3,0,-0.26,0.06,-0.02
투수,송영진,10,5,-0.25,0,-0.21,0.0,-0.021
우익수,원성준,14,4,0.1,0,0.08,-0.3,-0.022
좌익수,고승완,3,1,-0.2,0,-0.17,-0.06,-0.023
중견수,원성준,1,0,-0.3,0,-0.26,0.01,-0.025
중견수,추재현,1,0,-0.3,0,-0.26,0.01,-0.025
좌익수,최원준,1,0,-0.3,0,-0.26,-0.02,-0.028
좌익수,정현승,1,0,-0.3,0,-0.26,-0.02,-0.028
좌익수,유로결,1,0,-0.3,0,-0.26,-0.02,-0.028
좌익수,홍성호,1,0,-0.3,0,-0.26,-0.02,-0.028
우익수,박수종,19,11,0.15,0,0.13,-0.41,-0.028
우익수,고승완,1,0,-0.3,0,-0.26,-0.02,-0.028
좌익수,송찬의,53,28,1.0,0,0.85,-1.14,-0.029
좌익수,박수종,16,11,0.05,0,0.04,-0.34,-0.03
투수,김영우,14,10,-0.35,0,-0.3,0.0,-0.03
투수,박상원,13,11,-0.35,0,-0.3,0.0,-0.03
3루수,이호준,5,4,-0.4,0,-0.34,0.04,-0.03
우익수,오선우,46,20,0.8,0,0.68,-0.99,-0.031
유격수,서유신,1,0,-0.4,0,-0.34,0.02,-0.032
우익수,홍성호,7,3,-0.2,0,-0.17,-0.15,-0.032
투수,이승현L,15,9,-0.4,0,-0.34,0.0,-0.034
투수,조동욱,12,8,-0.4,0,-0.34,0.0,-0.034
중견수,장진혁,71,36,-1.0,0,-0.85,0.51,-0.034
투수,최성영,6,5,-0.4,0,-0.34,0.0,-0.034
투수,김진수,1,0,-0.4,0,-0.34,0.0,-0.034
우익수,장재영,4,0,-0.3,0,-0.26,-0.09,-0.035
중견수,장재영,21,10,-0.6,0,-0.51,0.15,-0.036
중견수,박재현,39,14,-0.75,0,-0.64,0.28,-0.036
좌익수,스톤,9,6,-0.2,0,-0.17,-0.19,-0.036
우익수,김태근,6,3,-0.3,0,-0.26,-0.13,-0.039
중견수,박지환,2,0,-0.5,0,-0.42,0.01,-0.041
1루수,전병우,4,3,-0.35,0,-0.3,-0.14,-0.044
좌익수,이용규,5,2,-0.4,0,-0.34,-0.11,-0.045
우익수,최인호,9,3,-0.3,0,-0.26,-0.19,-0.045
중견수,천재환,163,87,-1.9,0,-1.62,1.16,-0.046
투수,웰스,5,3,-0.55,0,-0.47,0.0,-0.047
투수,최지강,8,5,-0.55,0,-0.47,0.0,-0.047
중견수,김민석,4,0,-0.6,0,-0.51,0.03,-0.048
좌익수,최원영,90,41,1.7,0,1.44,-1.93,-0.049
유격수,오서진,2,1,-0.65,0,-0.55,0.04,-0.051
좌익수,한재환,5,2,-0.5,0,-0.42,-0.11,-0.053
유격수,김병휘,2,1,-0.7,0,-0.6,0.04,-0.056
좌익수,김대한,23,11,-0.1,0,-0.08,-0.49,-0.057
우익수,김창평,1,0,-0.65,0,-0.55,-0.02,-0.057
좌익수,신윤후,1,0,-0.65,0,-0.55,-0.02,-0.057
우익수,하재훈,29,13,0.05,0,0.04,-0.62,-0.058
우익수,박재현,27,14,0.0,0,0.0,-0.58,-0.058
우익수,이창진,24,10,-0.1,0,-0.08,-0.51,-0.059
투수,조민석,2,1,-0.7,0,-0.6,0.0,-0.06
투수,톨허스트,5,3,-0.7,0,-0.6,0.0,-0.06
투수,윤산흠,3,2,-0.7,0,-0.6,0.0,-0.06
3루수,최정원,3,2,-0.75,0,-0.64,0.02,-0.062
중견수,유로결,11,2,-0.85,0,-0.72,0.08,-0.064
1루수,김동준,1,0,-0.7,0,-0.6,-0.04,-0.064
유격수,송지후,2,1,-0.8,0,-0.68,0.04,-0.064
좌익수,최정원,20,11,-0.25,0,-0.21,-0.43,-0.064
좌익수,정훈,9,2,-0.55,0,-0.47,-0.19,-0.066
중견수,양도근,3,1,-0.8,0,-0.68,0.02,-0.066
좌익수,한유섬,21,10,-0.25,0,-0.21,-0.45,-0.066
좌익수,박재현,14,8,-0.45,0,-0.38,-0.3,-0.068
우익수,한석현,36,20,0.1,0,0.08,-0.77,-0.069
2루수,오서진,1,0,-0.85,0,-0.72,0.01,-0.071
좌익수,김태근,5,2,-0.7,0,-0.6,-0.11,-0.071
3루수,이승원,1,0,-0.85,0,-0.72,0.01,-0.071
좌익수,한승현,11,3,-0.55,0,-0.47,-0.24,-0.071
투수,최원준,10,6,-0.85,0,-0.72,0.0,-0.072
투수,전준표,3,1,-0.85,0,-0.72,0.0,-0.072
우익수,유로결,8,3,-0.65,0,-0.55,-0.17,-0.072
좌익수,안현민,2,0,-0.8,0,-0.68,-0.04,-0.072
우익수,박시원,40,18,0.15,0,0.13,-0.86,-0.073
좌익수,하재훈,20,10,-0.35,0,-0.3,-0.43,-0.073
2루수,석정우,24,17,-2.0,2,-0.9,0.17,-0.073
우익수,김태연,96,48,1.55,0,1.32,-2.06,-0.074
우익수,박관우,9,2,-0.65,0,-0.55,-0.19,-0.074
중견수,황성빈,223,102,-2.75,0,-2.34,1.59,-0.075
1루수,이창용,2,1,-0.8,0,-0.68,-0.07,-0.075
중견수,최승민,1,0,-0.9,0,-0.76,0.01,-0.075
유격수,신민재,3,1,-0.95,0,-0.81,0.06,-0.075
좌익수,조수행,105,54,1.75,0,1.49,-2.25,-0.076
1루수,강백호,1,0,-0.85,0,-0.72,-0.04,-0.076
1루수,이정훈,1,0,-0.85,0,-0.72,-0.04,-0.076
중견수,케이브,6,2,-0.95,0,-0.81,0.04,-0.077
좌익수,김성윤,1,0,-0.9,0,-0.76,-0.02,-0.078
좌익수,장재영,1,0,-0.9,0,-0.76,-0.02,-0.078
좌익수,김건형,1,0,-0.9,0,-0.76,-0.02,-0.078
우익수,위즈덤,1,0,-0.9,0,-0.76,-0.02,-0.078
우익수,김동준,1,0,-0.9,0,-0.76,-0.02,-0.078
우익수,김대한,5,2,-0.8,0,-0.68,-0.11,-0.079
우익수,김인태,6,3,-0.8,0,-0.68,-0.13,-0.081
투수,한두솔,8,6,-0.95,0,-0.81,0.0,-0.081
좌익수,한석현,11,4,-0.7,0,-0.6,-0.24,-0.084
우익수,이유찬,6,3,-0.85,0,-0.72,-0.13,-0.085
투수,김태훈,3,0,-1.0,0,-0.85,0.0,-0.085
투수,양현종,13,9,-1.0,0,-0.85,0.0,-0.085
3루수,이호연,6,2,-1.05,0,-0.89,0.04,-0.085
우익수,천성호,7,1,-0.85,0,-0.72,-0.15,-0.087
중견수,로하스,25,8,-1.25,0,-1.06,0.18,-0.088
좌익수,박시원,10,6,-0.8,0,-0.68,-0.21,-0.089
우익수,신윤후,4,0,-0.95,0,-0.81,-0.09,-0.09
중견수,유준규,14,8,-1.2,0,-1.02,0.1,-0.092
중견수,안치영,13,5,-1.2,0,-1.02,0.09,-0.093
중견수,문현빈,10,3,-1.2,0,-1.02,0.07,-0.095
1루수,송찬의,4,1,-0.95,0,-0.81,-0.14,-0.095
우익수,김성욱,59,33,0.35,0,0.3,-1.26,-0.096
좌익수,구본혁,7,2,-0.95,0,-0.81,-0.15,-0.096
좌익수,함창건,38,17,-0.2,0,-0.17,-0.81,-0.098
좌익수,박승규,30,18,-0.4,0,-0.34,-0.64,-0.098
우익수,최승민,2,0,-1.2,0,-1.02,-0.04,-0.106
좌익수,이유찬,24,11,-0.65,0,-0.55,-0.51,-0.106
좌익수,전다민,6,2,-1.1,0,-0.94,-0.13,-0.107
좌익수,최성민,12,6,-0.95,0,-0.81,-0.26,-0.107
우익수,최상민,13,6,-1.0,0,-0.85,-0.28,-0.113
우익수,문정빈,3,0,-1.3,0,-1.1,-0.06,-0.116
좌익수,정해원,23,10,-0.8,0,-0.68,-0.49,-0.117
우익수,임종찬,36,16,-0.5,0,-0.42,-0.77,-0.119
중견수,권희동,11,5,-1.5,0,-1.27,0.08,-0.119
1루수,김민수,5,3,-1.2,0,-1.02,-0.18,-0.12
3루수,박지환,43,29,-2.25,1,-1.51,0.31,-0.12
우익수,조세진,6,1,-1.3,0,-1.1,-0.13,-0.123
2루수,양우현,7,4,-1.55,0,-1.32,0.05,-0.127
유격수,박지훈,6,3,-1.65,0,-1.4,0.13,-0.127
좌익수,장두성,12,5,-1.35,0,-1.15,-0.26,-0.141
좌익수,주성원,18,11,-1.25,0,-1.06,-0.39,-0.145
좌익수,변상권,11,5,-1.45,0,-1.23,-0.24,-0.147
중견수,최성민,5,1,-1.8,0,-1.53,0.04,-0.149
3루수,어준서,8,2,-1.85,0,-1.57,0.06,-0.151
우익수,최원영,46,23,-0.7,0,-0.6,-0.99,-0.159
3루수,김주성,4,1,-1.95,0,-1.66,0.03,-0.163
우익수,김민혁,7,1,-1.75,0,-1.49,-0.15,-0.164
좌익수,황성빈,18,7,-1.55,0,-1.32,-0.39,-0.171
좌익수,김성욱,15,8,-1.65,0,-1.4,-0.32,-0.172
우익수,이상혁,11,2,-1.8,0,-1.53,-0.24,-0.177
좌익수,최승민,11,5,-1.8,0,-1.53,-0.24,-0.177
2루수,서호철,76,56,-4.15,3,-2.33,0.54,-0.179
우익수,박정우,25,6,-1.65,0,-1.4,-0.54,-0.194
좌익수,카디네스,8,2,-2.15,0,-1.83,-0.17,-0.2
중견수,김민혁,23,6,-2.55,0,-2.17,0.16,-0.201
좌익수,고종욱,85,43,-0.25,0,-0.21,-1.82,-0.203
우익수,정해원,28,16,-1.7,0,-1.44,-0.6,-0.204
좌익수,박한결,15,6,-2.05,0,-1.74,-0.32,-0.206
우익수,최성민,27,10,-1.75,0,-1.49,-0.58,-0.207
좌익수,김헌곤,92,43,-0.15,0,-0.13,-1.97,-0.21
좌익수,임병욱,35,18,-1.6,0,-1.36,-0.75,-0.211
좌익수,김현종,5,1,-2.45,0,-2.08,-0.11,-0.219
중견수,박정우,52,20,-3.1,0,-2.64,0.37,-0.227
좌익수,함수호,7,2,-2.55,0,-2.17,-0.15,-0.232
좌익수,천성호,13,6,-2.45,0,-2.08,-0.28,-0.236
중견수,김성욱,49,22,-3.3,0,-2.8,0.35,-0.245
좌익수,박정우,27,11,-2.2,0,-1.87,-0.58,-0.245
좌익수,김동혁,19,8,-2.6,0,-2.21,-0.41,-0.262
좌익수,임지열,237,122,2.85,0,2.42,-5.08,-0.266
우익수,임지열,26,10,-2.5,0,-2.12,-0.56,-0.268
좌익수,오선우,192,90,1.6,0,1.36,-4.11,-0.275
좌익수,원성준,30,12,-2.5,0,-2.12,-0.64,-0.276
좌익수,채현우,36,13,-2.35,0,-2.0,-0.77,-0.277
우익수,이우성,37,13,-2.45,0,-2.08,-0.79,-0.287
우익수,오태곤,35,14,-2.6,0,-2.21,-0.75,-0.296
우익수,김태훈,28,11,-2.8,0,-2.38,-0.6,-0.298
중견수,박시원,23,9,-3.75,0,-3.19,0.16,-0.303
우익수,이원석,116,50,-0.65,0,-0.55,-2.49,-0.304
좌익수,김태훈,44,20,-2.55,0,-2.17,-0.94,-0.311
좌익수,유준규,21,8,-3.25,0,-2.76,-0.45,-0.321
중견수,스티븐슨,176,73,-5.35,0,-4.55,1.26,-0.329
2루수,안주형,14,7,-4.0,0,-3.4,0.1,-0.33
좌익수,이진영,27,14,-3.2,0,-2.72,-0.58,-0.33
좌익수,이형종,50,21,-2.65,0,-2.25,-1.07,-0.332
중견수,최원준,349,158,-7.1,0,-6.03,2.49,-0.354
우익수,김석환,25,11,-3.55,0,-3.02,-0.54,-0.356
중견수,리베라토,277,125,-6.55,0,-5.57,1.98,-0.359
3루수,전민재,25,15,-4.5,0,-3.82,0.18,-0.364
좌익수,천재환,81,43,-2.4,0,-2.04,-1.74,-0.378
좌익수,박주홍,140,70,-1.1,0,-0.94,-3.0,-0.394
우익수,윤정빈,54,20,-3.45,0,-2.93,-1.16,-0.409
좌익수,전태현,34,17,-4.0,0,-3.4,-0.73,-0.413
우익수,추재현,18,6,-4.4,0,-3.74,-0.39,-0.413
좌익수,추재현,63,31,-3.35,0,-2.85,-1.35,-0.42
우익수,최준우,57,22,-3.65,0,-3.1,-1.22,-0.432
좌익수,오태곤,66,29,-3.7,0,-3.14,-1.41,-0.455
좌익수,김민석,141,63,-2.0,0,-1.7,-3.02,-0.472
우익수,레이예스,102,45,-3.05,0,-2.59,-2.19,-0.478
우익수,김헌곤,102,41,-3.1,0,-2.64,-2.19,-0.483
우익수,송찬의,61,28,-4.2,0,-3.57,-1.31,-0.488
좌익수,김동준,34,11,-4.95,0,-4.21,-0.73,-0.494
좌익수,김석환,104,44,-3.3,0,-2.8,-2.23,-0.503
우익수,손아섭,148,68,-2.35,0,-2.0,-3.17,-0.517
우익수,임병욱,55,19,-4.75,0,-4.04,-1.18,-0.522
우익수,장진혁,44,19,-5.15,0,-4.38,-0.94,-0.532
우익수,권희동,54,19,-4.95,0,-4.21,-1.16,-0.537
우익수,박승규,45,15,-5.2,0,-4.42,-0.96,-0.538
좌익수,이정훈,63,23,-5.5,0,-4.68,-1.35,-0.603
우익수,주성원,128,60,-3.95,0,-3.36,-2.74,-0.61
좌익수,안치영,50,22,-6.05,0,-5.14,-1.07,-0.621
좌익수,김재환,109,56,-4.65,0,-3.95,-2.34,-0.629
우익수,나성범,260,99,-0.95,0,-0.81,-5.57,-0.638
좌익수,김태연,77,30,-5.85,0,-4.97,-1.65,-0.662
좌익수,최인호,41,13,-6.75,0,-5.74,-0.88,-0.662
우익수,이성규,120,49,-4.8,0,-4.08,-2.57,-0.665
우익수,천재환,88,29,-5.75,0,-4.89,-1.89,-0.678
좌익수,김인태,136,62,-4.9,0,-4.16,-2.91,-0.707
우익수,윤동희,297,130,-1.15,0,-0.98,-6.36,-0.734
우익수,홍창기,133,58,-5.3,0,-4.5,-2.85,-0.735
우익수,고승민,101,40,-6.5,0,-5.52,-2.16,-0.768
좌익수,장진혁,80,37,-7.45,0,-6.33,-1.71,-0.804
좌익수,이창진,92,44,-7.25,0,-6.16,-1.97,-0.813
좌익수,로하스,105,40,-7.8,0,-6.63,-2.25,-0.888
좌익수,문성주,119,56,-7.65,0,-6.5,-2.55,-0.905
우익수,로하스,169,76,-6.9,0,-5.86,-3.62,-0.948
우익수,박주홍,164,65,-7.25,0,-6.16,-3.51,-0.967
우익수,스톤,65,19,-11.05,0,-9.39,-1.39,-1.078
좌익수,이우성,264,120,-6.6,0,-5.61,-5.66,-1.127
좌익수,에레디아,390,194,-5.45,0,-4.63,-7.5,-1.213
좌익수,푸이그,112,45,-12.6,0,-10.71,-2.4,-1.311
우익수,김성윤,222,97,-11.25,0,-9.56,-4.76,-1.432
우익수,최원준,158,62,-13.35,0,-11.35,-3.39,-1.474
우익수,박건우,232,83,-13.9,0,-11.82,-4.97,-1.679
우익수,카디네스,169,61,-15.75,0,-13.39,-3.62,-1.701
좌익수,권희동,291,135,-12.95,0,-11.01,-6.24,-1.725
좌익수,전준우,176,68,-16.35,0,-13.9,-3.77,-1.767
우익수,이진영,299,127,-13.75,0,-11.69,-6.41,-1.81
우익수,한유섬,282,122,-18.7,0,-15.9,-6.04,-2.194
좌익수,김민혁,293,127,-20.15,0,-17.13,-6.28,-2.341
우익수,문성주,324,143,-19.5,0,-16.58,-6.94,-2.352
우익수,케이브,510,228,-21.8,0,-18.53,-7.5,-2.603
좌익수,구자욱,366,162,-22.6,0,-19.21,-7.5,-2.671
좌익수,김현수,293,115,-24.45,0,-20.78,-6.28,-2.706
좌익수,문현빈,342,137,-27.05,0,-22.99,-7.33,-3.032
우익수,안현민,386,149,-26.95,0,-22.91,-7.5,-3.041
좌익수,레이예스,377,146,-27.2,0,-23.12,-7.5,-3.062
